date,daily_revenue,transactions,unique_customers,cash_transactions,card_transactions,day_of_week,week_of_year,month,quarter,year,day_of_month,is_weekend,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,rolling_min_7,rolling_max_7,avg_revenue_per_transaction,avg_revenue_per_customer,card_ratio,cash_ratio,target
2024-03-31,68.7,2,1,1,1,6,13,3,1,2024,31,1,189.9,78.7,68.9,396.3,203.15714285714287,194.29285714285714,232.71666666666667,99.29672463787276,99.35146974368261,78.7,376.7,34.35,68.7,0.5,0.5,242.8
2024-04-01,242.8,7,4,1,6,0,14,4,2,2024,1,0,68.7,223.6,115.6,228.1,201.72857142857146,194.27857142857144,221.79666666666665,101.43462121461482,98.75348787671294,68.7,376.7,34.68571428571429,60.7,0.8571428571428571,0.14285714285714285,136.5
2024-04-02,136.5,4,2,1,3,1,14,4,2,2024,2,0,242.8,376.7,219.9,349.1,204.47142857142856,203.3642857142857,222.2866666666667,102.37979478858308,98.82228819288774,68.7,376.7,34.125,68.25,0.75,0.25,126.5
2024-04-03,126.5,4,2,1,3,2,14,4,2,2024,3,0,136.5,271.7,213.9,135.2,170.15714285714287,197.40714285714287,215.2,70.24347792127178,97.02125611396212,68.7,271.7,31.625,63.25,0.75,0.25,185.0
2024-04-04,185.0,5,4,1,4,3,14,4,2,2024,4,0,126.5,125.4,205.2,338.5,149.41428571428574,191.16428571428574,214.91,55.05755862644806,97.28127845547175,68.7,242.8,37.0,46.25,0.8,0.2,362.1
2024-04-05,362.1,11,6,4,7,4,14,4,2,2024,5,0,185.0,156.10000000000002,189.4,170.2,157.92857142857142,189.72142857142856,209.79333333333335,55.332652032524024,94.5553074180373,68.7,242.8,32.91818181818182,60.35,0.6363636363636364,0.36363636363636365,140.1
2024-04-06,140.1,4,3,0,4,5,14,4,2,2024,6,1,362.1,189.9,285.1,220.1,187.35714285714286,202.05714285714288,216.19000000000003,94.86003473790316,98.20503656583276,68.7,362.1,35.025,46.699999999999996,1.0,0.0,241.5
2024-04-07,241.5,7,4,0,7,6,14,4,2,2024,7,1,140.1,68.7,78.7,265.5,180.24285714285716,191.7,213.52333333333334,96.49096429446746,99.17656036804654,68.7,362.1,34.5,60.375,1.0,0.0,340.2
2024-04-08,340.2,10,8,2,8,0,15,4,2,2024,8,0,241.5,242.8,223.6,479.4,204.92857142857142,203.32857142857142,212.72333333333333,84.56553108459175,98.83905999962359,126.5,362.1,34.019999999999996,42.525,0.8,0.2,186.1
2024-04-09,186.1,5,3,2,3,1,15,4,2,2024,9,0,340.2,136.5,376.7,231.6,218.84285714285716,211.65714285714287,208.08333333333334,98.67187807987406,88.62816584816134,126.5,362.1,37.22,62.03333333333333,0.6,0.4,166.4
2024-04-10,166.4,5,3,2,3,2,15,4,2,2024,10,0,186.1,126.5,271.7,275.2,225.92857142857142,198.04285714285714,206.56666666666666,93.41407307049113,88.60116498546509,126.5,362.1,33.28,55.46666666666667,0.6,0.4,169.0
