feature,importance
rolling_mean_7,0.10838087628639914
rolling_std_30,0.09075316887752195
rolling_max_7,0.08508413988119215
rolling_mean_14,0.06928031470276753
lag_14,0.06259823476865724
lag_7,0.05903534323443193
lag_1,0.05089614573370939
day_of_month,0.04966978091867704
rolling_std_7,0.04852244453839399
avg_revenue_per_transaction,0.04676394081795964
rolling_min_7,0.0462420881166162
avg_revenue_per_customer,0.04369835660351197
rolling_mean_30,0.04308434713718642
unique_customers,0.038370051675831844
lag_30,0.03652588190499566
daily_revenue,0.03164967243232055
day_of_week,0.026190578078163395
week_of_year,0.016935490616388944
transactions,0.01420338375884703
card_transactions,0.013500654082496672
month,0.006957105846262537
cash_ratio,0.0027424980822281226
card_ratio,0.0024189368797311213
is_weekend,0.0023026533108804472
quarter,0.0022861635753240214
cash_transactions,0.001283618890945136
year,0.000624129248559871
